Date_range,Std_Week_No,Tmax,Tmin,RHI,RHII,Rainfall_mm,SSH,P1,P2,P3,P4,P5,Pest,Year 
15-21oct,42,30.50,23.25,88.00,81.50,12.40,0.00,0,0,0,0,0,Maruca,2020
22-28oct,43,31.86,21.71,93.43,63.86,0.00,6.97,0,0,0,0,0,Maruca,2020
29-4nov,44,31.21,20.07,89.43,57.57,0.00,8.43,0,0,0,0,0,Maruca,2020
5-11nov,45,30.21,16.43,87.86,51.21,0.00,8.09,0,0,1,0,0,Maruca,2020
12-18nov,46,32.07,21.00,90.64,64.81,0.00,7.16,1,2,4,1,0,Maruca,2020
19-25nov,47,32.21,18.93,89.00,66.79,0.00,6.03,3,2,5,3,2,Maruca,2020
26-2dec,48,28.16,18.44,91.33,64.56,6.20,4.23,2,6,4,5,2,Maruca,2020
3-9dec,49,31.14,15.14,91.21,48.50,0.00,0.00,2,4,3,2,0,Maruca,2020
10-16dec,50,29.86,17.63,89.13,55.00,0.00,0.00,0,2,2,1,0,Maruca,2020
17-23dec,51,28.57,12.86,90.38,49.71,0.00,0.00,0,2,0,0,0,Maruca,2020
24-31dec,52,29.30,14.33,91.67,41.30,0.00,4.73,0,1,1,0,0,Maruca,2020
15-21oct,42,30.50,23.25,88.00,81.50,12.40,0.00,0,0,0,0,0,Helicoverpa,2020
22-28oct,43,31.86,21.71,93.43,63.86,0.00,6.97,0,0,0,0,0,Helicoverpa,2020
29-4nov,44,31.21,20.07,89.43,57.57,0.00,8.43,0,0,0,0,0,Helicoverpa,2020
5-11nov,45,30.21,16.43,87.86,51.21,0.00,8.09,2,0,0,0,0,Helicoverpa,2020
12-18nov,46,32.07,21.00,90.64,64.81,0.00,7.16,4,0,2,1,1,Helicoverpa,2020
19-25nov,47,32.21,18.93,89.00,66.79,0.00,6.03,3,1,2,3,2,Helicoverpa,2020
26-2dec,48,28.16,18.44,91.33,64.56,6.20,4.23,5,2,4,7,4,Helicoverpa,2020
3-9dec,49,31.14,15.14,91.21,48.50,0.00,0.00,2,1,3,2,1,Helicoverpa,2020
10-16dec,50,29.86,17.63,89.13,55.00,0.00,0.00,1,0,1,1,0,Helicoverpa,2020
17-23dec,51,28.57,12.86,90.38,49.71,0.00,0.00,1,0,2,1,0,Helicoverpa,2020
24-31dec,52,29.30,14.33,91.67,41.30,0.00,4.73,0,0,1,0,0,Helicoverpa,2020
15-21oct,42,30.50,23.25,88.00,81.50,12.40,0.00,0,0,0,0,0,Podfly,2020
22-28oct,43,31.86,21.71,93.43,63.86,0.00,6.97,0,0,0,0,0,Podfly,2020
29-4nov,44,31.21,20.07,89.43,57.57,0.00,8.43,0,0,0,0,0,Podfly,2020
5-11nov,45,30.21,16.43,87.86,51.21,0.00,8.09,0,0,0,0,0,Podfly,2020
12-18nov,46,32.07,21.00,90.64,64.81,0.00,7.16,0,0,0,0,0,Podfly,2020
