Pest,Std_Week_No,SARIMAX,NB_GLM,RandomForest,LASSO,Naive_Ensemble,COO_Ensemble
Maruca,42,6.62,4.01,2.62,3.27,2.82,2.83
Maruca,43,4.88,7.06,5.64,5.05,5.61,5.64
Maruca,44,7.08,0.81,7.05,1.1,7.05,6.93
Maruca,45,9.24,7.8,6.82,5.45,6.94,6.96
Maruca,46,16.22,20.4,16.75,9.98,16.73,16.8
Maruca,47,23.79,18.03,17.07,8.83,17.4,17.4
Maruca,48,13.39,20.07,14.5,10.0,14.45,14.57
Maruca,49,14.34,25.84,17.32,12.1,17.17,17.35
Maruca,50,15.84,43.26,13.84,16.38,13.94,14.53
Maruca,51,6.58,53.34,6.62,19.06,6.62,7.56
Maruca,52,7.3,42.6,5.86,16.63,5.93,6.67
Helicoverpa,42,0.0,3.96,3.32,2.46,3.32,3.24
Helicoverpa,43,2.99,9.11,8.21,3.89,8.21,8.08
Helicoverpa,44,2.09,0.24,9.97,0.04,9.97,9.76
Helicoverpa,45,7.96,5.58,7.57,2.87,7.57,7.58
Helicoverpa,46,13.15,19.94,12.35,5.49,12.35,12.37
Helicoverpa,47,37.75,17.63,17.23,4.77,17.23,17.76
Helicoverpa,48,37.74,24.42,17.34,5.8,17.34,17.86
Helicoverpa,49,6.65,25.55,15.0,6.49,15.0,14.78
Helicoverpa,50,1.2,57.32,8.5,7.64,8.5,8.31
Helicoverpa,51,3.26,79.22,8.16,9.38,8.16,8.04
Helicoverpa,52,0.0,53.56,5.66,8.27,5.66,5.52
Podfly,42,17.52,0.0,0.48,0.0,0.27,0.47
Podfly,43,9.25,0.03,1.21,0.0,0.67,1.18
Podfly,44,5.17,0.0,1.22,0.44,0.87,1.19
Podfly,45,8.48,0.04,1.84,1.45,1.67,1.8
Podfly,46,7.05,2.58,2.26,3.05,2.61,2.27
Podfly,47,18.33,4.38,8.96,5.36,7.35,8.85
Podfly,48,39.5,15.96,21.01,9.95,16.07,20.89
Podfly,49,46.22,28.49,36.31,17.13,27.73,36.12
Podfly,50,65.16,72.71,48.77,27.83,39.4,49.32
Podfly,51,77.47,199.68,58.44,46.71,53.19,61.76
Podfly,52,118.01,317.65,70.8,75.89,73.08,76.63
