Pest,Y1,Y2,Z,p_raw,p_bonf
Maruca,2020,2021,0.7652,0.4442,1.0
Maruca,2020,2022,0.3793,0.7045,1.0
Maruca,2020,2023,0.8517,0.3944,1.0
Maruca,2020,2024,1.8964,0.0579,0.5791
Maruca,2021,2022,0.3859,0.6996,1.0
Maruca,2021,2023,0.0865,0.9311,1.0
Maruca,2021,2024,1.1312,0.258,1.0
Maruca,2022,2023,0.4724,0.6366,1.0
Maruca,2022,2024,1.5171,0.1292,1.0
Maruca,2023,2024,1.0447,0.2962,1.0
Helicoverpa,2020,2021,0.0532,0.9575,1.0
Helicoverpa,2020,2022,0.0466,0.9629,1.0
Helicoverpa,2020,2023,0.2994,0.7646,1.0
Helicoverpa,2020,2024,1.3042,0.1922,1.0
Helicoverpa,2021,2022,0.0998,0.9205,1.0
Helicoverpa,2021,2023,0.3527,0.7243,1.0
Helicoverpa,2021,2024,1.3574,0.1747,1.0
Helicoverpa,2022,2023,0.2528,0.8004,1.0
Helicoverpa,2022,2024,1.2576,0.2085,1.0
Helicoverpa,2023,2024,1.0047,0.315,1.0
Podfly,2020,2021,0.5922,0.5537,1.0
Podfly,2020,2022,0.6454,0.5187,1.0
Podfly,2020,2023,0.3926,0.6946,1.0
Podfly,2020,2024,0.9981,0.3182,1.0
Podfly,2021,2022,0.0532,0.9575,1.0
Podfly,2021,2023,0.1996,0.8418,1.0
Podfly,2021,2024,0.4059,0.6848,1.0
Podfly,2022,2023,0.2528,0.8004,1.0
Podfly,2022,2024,0.3527,0.7243,1.0
Podfly,2023,2024,0.6055,0.5448,1.0
